"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,60.8,55,570
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,55.5,38,532
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,46,20.5,471
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,47.6,29.9,565
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,45.4,34.5,513
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,52.9,41.1,598
"115",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,56.1,31.5,583
"116",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,57.3,29.4,675
"117",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,57.8,27.8,517
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,58.9,31.1,440
"119",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,55,44,598
"120",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,57.7,38.2,576
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,57,32.7,576
"122",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,58.9,41.2,585
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,56.6,37.9,686
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,54.7,41.4,580
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,52.1,38.7,515
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,55.4,44.7,561
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,60.9,50.8,592
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,60.3,56.6,620
"129",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,58.9,54.2,602
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,66.9,54,698
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,64.4,60.1,523
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,62.6,45.3,527
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,51.7,26.7,577
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,51.1,27.2,565
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,58,39.9,532
"136",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,69.5,51,559
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,66.4,40.2,742
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,61,46.6,506
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,57.3,53.4,544
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,65,60,658
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,75.9,65.2,697
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,71,63.4,570
"143",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,71.5,66.2,735
"144",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,59.6,57,668
"145",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,48.1,41.7,514
"146",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,55.5,35.6,455
"147",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,61.7,34.9,420
"148",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,61.1,47.1,686
"149",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,66.9,60.6,574
"150",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,81,63.4,685
"151",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,83,63.4,736
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,80.8,64.1,631
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,80.1,65.9,487
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,72.2,67.3,707
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,66.1,45.6,613
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,66,41.7,599
"157",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,63.8,53.8,605
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,61.5,59.4,791
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,64.9,58.9,571
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,71.7,57.6,533
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,67.7,62.1,624
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,69.6,63.6,635
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,70.9,53.2,615
"164",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,65.7,55.6,535
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,59.9,53.8,693
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,69.4,52,596
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,72.8,53.8,477
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,75.3,63.4,614
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,72.8,63.8,613
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,67.4,54.4,622
"171",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,69.6,52.4,681
"172",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,71.6,51.6,690
"173",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,72.4,54,599
"174",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,76.1,62.6,505
"175",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,80.6,68.1,680
"176",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,80.9,64.9,648
"177",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,79.4,65.6,621
"178",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,78.1,68.7,598
"179",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,77.1,69.4,608
"180",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,76.2,65.9,591
"181",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,77.5,70.8,423
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,74.2,71,633
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,75.6,71.7,601
